participant_id,context_a,context_b,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,bin_clicks
P15,3,4,0.5853745256893385,52.32001248406395,52.32001248406395,0.25477253150028983,0.0619179881391424,0.5876069328891883,10
P16,1,2,0.462385840334175,49.6229540208511,85.09358591603177,0.03257029575893866,0.03257029575893866,0.8463356252686667,10
P16,1,3,0.12460442960608482,66.9080174036081,66.9080174036081,0.4736639291232994,0.18653212905789923,0.8422131527671783,10
P16,1,4,0.32963473381157077,70.2962259942046,70.2962259942046,0.4067553821982766,0.2509816272811141,0.6899545679929289,10
P16,2,3,0.14127465953533694,28.09983546960213,28.09983546960213,0.4448088281926431,0.15396183329896057,0.7195819858745773,10
P16,2,4,0.17296240773625576,18.437571109705424,18.437571109705424,0.37660484393862637,0.21841133152217546,0.8023461094275556,10
P16,3,4,0.8512515447967357,31.65194367259216,31.65194367259216,0.07851586097854893,0.06444949822321488,0.6762476745824846,10
P17,1,2,0.3911476311528086,46.945316667770456,63.99825965902225,0.06934518451346072,0.06934518451346072,0.9623875006457654,10
P17,1,3,0.31054420044551234,33.521012273233794,54.25797180709421,0.7967602947145596,0.41042115184691585,0.8377390466131359,10
P17,1,4,0.7114543088650709,14.243055983154411,14.243055983154411,0.747239650625634,0.4381255462364746,0.7276065944616124,10
P17,2,3,0.08057339485206175,52.52313245546513,62.11580157093062,0.7274151102010988,0.34107596733345513,0.8271478679698201,10
P17,2,4,0.23386421256708512,69.90208330095976,69.90208330095976,0.6784656785417431,0.36878036172301387,0.772749692181792,10
P17,3,4,0.44212741870003086,39.51592116471492,39.51592116471492,0.10655618949594806,0.027704394389558795,0.6978010837874455,10
P18,1,2,0.6726594554195996,50.61244557709448,74.17534922135262,0.09359803798825761,0.09359803798825761,0.7770633665177658,10
P18,1,3,0.024836671603490255,86.41050580432965,86.41050580432965,0.5931710971781162,0.11881086665963408,0.9212505902495315,10
P18,1,4,0.41102363652647117,25.640073069864734,25.640073069864734,0.5776199582893553,0.2091166481058749,0.7147303429794089,10
P18,2,3,0.4203507281978351,64.23806045799532,64.23806045799532,0.510186139647759,0.025212828671376475,0.7602582412730607,10
P18,2,4,0.36248384389064736,68.73728959091882,68.73728959091882,0.4860387463105221,0.1155186101176173,0.7262137368376279,10
P18,3,4,0.21707346018665413,77.46279885287237,77.46279885287237,0.14819042195504054,0.09030578144624082,0.7482374128090362,10
P19,1,2,0.8364258824020107,25.138701748404497,25.138701748404497,0.6322081791073914,0.19078522160392852,1.632019006142932,10
P19,1,3,0.6100178620509376,52.40920548139944,52.40920548139944,0.33075997257960116,0.16569772414394945,1.0758582084775754,10
P19,1,4,0.5139733186791553,59.07114515926308,59.07114515926308,0.4531679098169943,0.05655412588608155,2.1358289334031104,10
P19,2,3,0.3967509340763903,39.42815205349055,39.42815205349055,0.4013633885237847,0.356482945747878,1.0340876260686656,10
P19,2,4,0.45818219475980065,59.33823546555666,59.33823546555666,0.25314089513791843,0.24733934749001008,1.926633533509438,10
P19,3,4,0.351986123969926,69.39115645962974,69.39115645962974,0.1563740263363424,0.1091435982578679,1.452147623259895,10
P20,1,2,0.4717810562661008,61.850029009281045,61.850029009281045,0.1944372012225229,0.06393438949513751,0.5233828862666189,10
P20,1,3,0.49599668309065914,45.766239291739865,45.766239291739865,0.7645704436436342,0.6173058172638404,0.8626103153855752,10
P20,1,4,0.5577190585117251,56.10179824582918,56.10179824582918,0.1433640218281728,0.034033321035376624,0.5006499349394837,10
P20,2,3,0.22423749789425704,11.868683141058309,11.868683141058309,0.5710989049848116,0.5533714277687029,0.6331787960358279,10
P20,2,4,0.09569289900818065,84.50879830204886,84.50879830204886,0.05805823974380904,0.029901068459760885,0.3499317798085303,10
P20,3,4,0.7033987334518461,44.97175533507911,44.97175533507911,0.6267408746686848,0.5832724962284638,0.7134801356129367,10
P21,1,2,0.14785641629543528,41.68321404594994,78.42574419508367,0.1440678829744037,0.1440678829744037,0.779688141308407,10
