participant_id,n_transitions,n_train,n_test,n_contexts,ridge_alpha,mse_persistence,skill_persistence,mse_A_i,skill_A_i,mse_DMDc,skill_DMDc,mse_A_ic,skill_A_ic,best_model,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_A,loading_reward_rate,loading_switch_rate,loading_mean_log_ici,spectral_radius_bias,spectral_radius_bias_corrected,spectral_radius_lo,spectral_radius_hi,eigvec_stability_median,eigvec_stability_lo,frac_replicates_complex,n_boot_ok,spectral_radius_sample_bias,spectral_radius_debiased,noise_ratio_choice_prop_A,noise_ratio_reward_rate,noise_ratio_switch_rate,noise_ratio_mean_log_ici,spectral_radius_attenuation_corrected,skill_h1,skill_h2,skill_h5,skill_h10,bin_clicks,att_loading_choice_prop_A,att_loading_reward_rate,att_loading_switch_rate,att_loading_mean_log_ici
mmgr8c41e95y48,65,44,21,4,10.0,1.047586871245356,0.0,0.6680033825545141,0.3623408226179835,0.6857946770648867,0.34535770169625735,1.3639778512326528,-0.30201884795594647,A_i,0.7936322523741947,0.7936322523741947,0.0,0.31804044612292875,False,switch rate,2.9988834703463283,,0.025143218546987055,0.42861311337414015,0.6915801716636403,0.5808403255340617,-0.043548483752431255,0.8371807361266259,0.49150876050142567,0.8822370020596725,0.9951107733777522,0.8685909065694092,0.38,300,-0.0667772090212072,0.8604094613954019,0.15143193409180072,0.21102899374644676,0.11988169569503777,0.09999999999999999,1.1401319095091393,0.22388419812353966,0.13949725482921976,0.699793757904579,,10,0.285059446237858,0.19682479074543102,0.8349346956213194,0.42765075459575397
mmh0l2c7qmhy45,99,67,32,4,10.0,1.5119756487872253,0.0,0.9004761026436231,0.40443743034756796,0.827062309166795,0.4529923085532548,0.8285350986332642,0.4520182257579064,DMDc,0.5695799769744495,0.5695799769744495,0.0,0.26198944987954365,False,reward rate,1.2314821047322857,,0.025687863620665375,-0.7319393057880236,0.6807542437169782,-0.013365850757708107,-0.015202857734885278,0.5847828347093348,0.3829806403566369,0.7333890851227747,0.9602589779766357,0.7275254914317038,0.6,300,-0.033610083658861534,0.603190060633311,0.30295698924731185,0.2180035697411938,0.2226404676843131,0.1,0.7119789210489538,0.39839461217444266,0.3622683103980802,0.12259962922185687,,10,-0.019732826913676615,0.7361459478787298,-0.6764305614980062,0.011893461868334228
mmh0l48dxf0unl,85,58,27,4,10.0,0.9701036368786076,0.0,0.624439368308804,0.35631684639592565,0.5839192557437589,0.3980856956452924,0.545927666091727,0.43724809872036297,A_ic,0.7987216045870534,0.7987216045870534,0.0,0.32109478789152573,False,reward rate,3.0841793701811095,,0.07944017035970595,-0.7998760949484481,-0.4978782096641283,-0.32558375328766703,-0.021434486164151112,0.8201560907512045,0.6702680472585377,0.860586944650453,0.9908242223314162,0.9511030345784562,0.6633333333333333,300,-0.050929255921753125,0.8496508605088066,0.4202932278333721,0.1258552394670508,0.06394070460911151,0.09999999999999998,0.9091914180235985,0.3516803160563718,0.3494663120561289,-16.02013689769833,,10,-0.0761357808080998,0.8059044130214076,0.4990020584759343,0.30938384830197874
mmh0le5hzjr146,96,64,32,4,10.0,1.8956071128258885,0.0,0.9688262555642398,0.48890978040277777,0.8828558237214441,0.5342622330608788,0.8965333818706305,0.5270468359162688,DMDc,0.620722101018062,0.620722101018062,0.0,0.40661586635683405,False,reward rate,1.4535293996204492,,0.12954473635989872,0.9581116545787492,-0.14920893101632743,0.2073087396777589,-0.014475431203013644,0.6351975322210757,0.4015004368440642,0.7388806665574318,0.936797228099084,0.6076352760306225,0.41333333333333333,300,-0.023339610033568547,0.6440617110516306,0.25828566951343723,0.2947619376684403,1.814567720709195,0.10000000000000002,,0.5139155630659478,0.1416908927211473,0.5905674284056631,,10,,,,
mmh0lgopisagl1,87,60,27,4,10.0,1.1726639292742804,0.0,0.8983241465244981,0.2339457843813456,0.8425559350569849,0.28150264195606967,1.0496685022320362,0.10488548677229426,DMDc,0.7642194160930654,0.7642194160930654,0.0,0.3178742255771385,False,reward rate,2.577710343374414,,0.02204344955940816,0.8615317961088877,-0.02945357746942212,0.5063689735747723,-0.023916072018783985,0.7881354881118494,0.5836168907747875,0.8692411412846923,0.9607863467440947,0.7711565559838981,0.39666666666666667,300,-0.04989502383698308,0.8141144399300485,0.40783505154639166,0.13504623818428668,1.6807106598984773,0.1,,0.11325133764894088,0.2670701327626731,0.19963711814664156,,10,,,,
mmh0lku3somrj2,96,66,30,4,10.0,1.5352987765961477,0.0,0.984449989733216,0.358789308804243,0.8934097470397113,0.4180873712278622,0.8047973307829576,0.4758040955603162,A_ic,0.6661097020445746,0.6661097020445746,0.0,0.27050818158887957,False,reward rate,1.7059946787170346,,-0.21732336304328703,-0.9027158878621591,0.36200184440291333,0.08263925414522223,-0.012180558711300637,0.6782902607558753,0.4793338121835314,0.8015095538145519,0.9657056189837689,0.8149647496564162,0.43,300,-0.049451779780561256,0.7155614818251359,0.5624999999999999,0.16545606442105756,0.5710039630118889,0.09999999999999998,0.8035705394997696,0.39399550751750184,0.2591370710803398,-0.3834307668186111,,10,-0.10854885421328404,0.893437735563693,-0.4227690087347363,-0.10607791557743015
mmh0lpcdg8sc9d,31,17,10,4,1.0,1.0071190353923583,0.0,1.1081046079498271,-0.1002717345304931,1.8210471054158266,-0.808174646114572,2.62743496385363,-1.608862380234945,A_i,0.883029343901059,0.883029343901059,0.0,0.4805688800772459,False,reward rate,5.57206390634951,,0.06936836593901491,0.696602472796109,-0.45643024560940143,0.5491852652741501,-0.014721067879433503,0.8977504117804925,0.593697050859028,1.1448906114074224,0.7772687846887121,0.1071873759938352,0.73,300,-0.1328906695939721,1.0159200134950312,0.04526341825377194,0.2194304857621441,0.34180327868852467,0.10000000000000003,1.1183796384940143,-14.190604463592166,-11.996629471030518,,,10,0.44452443723568197,0.46615245208395,-0.3530098365150513,0.6785896929957289
mmh0m3laciusns,101,69,32,4,10.0,1.1641947278790097,0.0,0.8732865443315782,0.24987931707732702,0.7956019453268324,0.3166075002106381,0.8085949013052354,0.30544703395249395,DMDc,0.5248875302548532,0.5248875302548532,0.0,0.2801441106048704,False,reward rate,1.0753615862017212,,0.06002099105157189,0.7889219346242232,-0.5719806489841864,-0.21642042160939629,-0.0171620683376853,0.5420495985925385,0.2809703646865852,0.666956300617583,0.9351241479203967,0.5542969239030842,0.68,300,-0.03273318681100973,0.5576207170658629,0.22356580427446573,0.3312286147659529,0.7219493278179941,0.09999999999999998,25.956236886790112,0.24419009224065596,0.142035378034988,-0.13871139091552748,,10,-0.09464944826212941,-0.12255024977237255,0.9867830824963795,-0.047770977835366865
mmh0mm0slxu2c6,97,66,31,4,1.0,0.8969249664482805,0.0,0.6037299607877117,0.3268891118301537,0.450055778581851,0.4982236024000759,0.44456915206447506,0.5043407545840566,A_ic,0.8306614325945726,0.8306614325945726,0.0,0.5071430866745265,True,reward rate,3.7359780866785157,,-0.2461926109776127,-0.7817819820737926,-0.4480291511767991,-0.35703782782864235,-0.013340447782340559,0.8440018803769131,0.67708501209841,0.9151889879995471,0.9577496396434819,0.6709410049042273,0.5266666666666666,300,-0.043323155365236565,0.8739845879598092,0.4752404913423116,0.1222349965509313,0.18819792545535763,0.10000000000000006,0.9582664366205977,-0.023066268839504894,-0.2675994874459732,-0.2249837203027406,,10,-0.2655980728318923,-0.7938510116220623,-0.4529850181753596,-0.30669660637718577
mmh0mmpthv6747,45,30,15,4,10.0,1.5984312269496386,0.0,1.263863189211683,0.2093102487596088,1.2549236106335226,0.2149029689388937,1.3216151452633487,0.17317985098085897,DMDc,0.6579003008630604,0.6579003008630604,0.0,0.33595547131558123,True,switch rate,1.655467094063933,,-0.05342632974588015,0.37672831302341897,-0.725313669093597,-0.5737085382686905,-0.07922262603377717,0.7371229268968376,0.23218663634541548,0.8120561087034648,0.9680326349520652,0.5884594149398903,0.9433333333333334,300,-0.0589878671455184,0.7168881680085788,1.623554006968642,0.559746835443038,0.789156193895871,0.09999999999999999,,0.1710770677223916,0.1019630664972762,,,10,,,,
