participant_id,context,n_early,n_late,rho_early,rho_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_mse,early_predicts_late_skill,bin_clicks
P10,1,11,11,0.4640706003575456,0.17679360077845915,0.34382832018930237,69.8803426249079,69.8803426249079,0.3625155642849709,0.2872769995790865,0.5924219572319595,0.8432996266216808,0.5577650125938514,10
P10,2,10,10,0.448902718541175,0.4152057676131108,0.7253823368124384,10.998162200656168,15.77901928154943,0.03369695092806424,0.03369695092806424,0.6323054195202228,0.9193895079576679,0.34509501342520177,10
P10,3,10,10,0.46005087673876943,0.2779136758147876,0.3774434322179444,51.21024125067777,51.21024125067777,0.3260356970344194,0.18213720092398183,1.278748816790874,2.5970536345729642,0.5188940849245031,10
P10,4,11,11,0.6133961528226701,0.14992459135680997,0.6147703352941314,25.939637404529517,25.939637404529517,0.72478796708559,0.46347156146586016,0.9124792045168757,2.1612620930744026,-0.21337110416143656,10
P11,1,12,13,0.35809750806096213,0.2388584171406428,0.6045639093003038,40.27731230919802,40.27731230919802,0.30296728961805863,0.11923909092031934,0.873425526226136,0.9775535168455988,0.5328973520649698,10
P11,2,12,12,0.2771900331367589,0.5447547484886378,0.7366665638857154,13.001184982493903,13.001184982493903,0.3260812914743629,0.2675647153518789,0.7427948127809781,1.2019217863167921,0.534928644988117,10
P11,3,12,12,0.549871918789316,0.41345271334396927,0.7859546357002072,41.95759899947993,67.01239029219187,0.1364192054453467,0.1364192054453467,0.7556964419201943,1.8060662181087264,0.510673528587809,10
P11,4,12,13,0.24843020104420463,0.3433655285058435,0.7757423733078866,37.26940938270144,37.26940938270144,0.29222706294226863,0.09493532746163888,0.6466105146689041,0.667455877870826,0.5488046709973422,10
P12,1,9,10,0.6538787151754757,0.5375681582155465,0.6894154217967875,30.360379285660795,44.152917284034565,0.1163105569599292,0.1163105569599292,0.7877485980960571,1.6923052145207955,0.18740909626167213,10
P12,2,13,13,0.20663030441978794,0.13250050866421578,0.6901593917325901,46.32228654710482,46.32228654710482,0.31398691010115853,0.07412979575557216,0.5241555245892215,0.5925966529745513,0.49309349482252685,10
P12,3,13,14,0.3328853647570161,0.21816365035846041,0.5815881525874593,44.581049167315314,44.581049167315314,0.32084693220215776,0.11472171439855566,0.6918754608824425,1.608352471950434,0.5389493246713715,10
P12,4,12,13,0.4285650801493169,0.3343208508409467,0.6122336452371386,10.812714883712292,10.812714883712292,0.4238010969998338,0.09424422930837018,0.8254953699768605,1.3083043189986452,0.483376217033641,10
P13,1,11,11,0.6217533729367961,0.2643974241724606,0.4389162346776966,63.78577444627896,63.78577444627896,0.7385165169660448,0.3573559487643355,2.943161772449725,61.3592854726294,-19.92385263504874,10
P13,2,13,13,0.38253755620189067,0.7665844494640132,0.12594854403117373,82.76446370942857,82.76446370942857,0.5199276742712885,0.3840468932621225,2.283370440349706,1.623355872759076,0.43520655096881444,10
P13,4,12,12,0.5341129851628316,0.6700684111142865,0.5012037387354801,37.16556359141688,37.16556359141688,1.1948110911899794,0.13595542595145493,3.007150216574779,0.8439222061276404,0.19205116070358574,10
P14,1,11,12,0.32798245112197016,0.3227573026279652,0.2908261184433298,34.435785219573376,34.435785219573376,0.27735118820735044,0.005225148494004961,0.7233947989268357,1.4817939412319021,0.4611568545451804,10
P14,2,11,12,0.40603632450445504,0.34285406471592894,0.28803003302324753,59.76161363775951,76.00558538167925,0.748890389220384,0.0631822597885261,1.0617996160019696,3.5492006320100358,0.31020557617335887,10
P14,3,13,13,0.19986637008559646,0.2714175049095726,0.43126566669550453,64.45209062350278,64.45209062350278,0.12322001645708262,0.07155113482397615,0.6462138145422092,1.3590424338708247,0.4966586158836934,10
P14,4,12,12,0.2328738551862397,0.3747999433009444,0.5667779660843749,34.97384830031461,61.84332781374609,0.1419260881147047,0.1419260881147047,0.6552629432266466,1.119012309377906,0.6325644665587373,10
P15,1,14,15,0.253355891286706,0.33677268677863076,0.84485248670819,21.350642119616012,21.350642119616012,0.21784678114398623,0.08341679549192477,0.708867608870329,1.6992060926461212,0.2312003502683373,10
P15,2,13,14,0.589847785200766,0.23604573819598249,0.9459902784209564,38.69359832935993,64.29332813952036,0.35380204700478346,0.35380204700478346,0.7531994521248292,1.3553722119991618,0.4211000122104578,10
P15,3,13,13,0.15490813829483416,0.3651989509416689,0.12445045212407836,63.6293059827738,63.6293059827738,0.2915235774501323,0.21029081264683472,0.7612255529534039,0.936504000458149,-0.14001598908658397,10
P15,4,12,12,0.26184523054131886,0.35863180421466295,0.8765217570610486,40.078246365333186,72.31291993915423,0.09678657367334409,0.09678657367334409,0.8220492453297159,1.2586338155776085,0.34183195033053304,10
P16,1,12,12,0.3127185629880958,0.1581088545888003,0.5216928918362849,56.613018067019595,74.01944387927584,0.4708274175768961,0.1546097083992955,0.6071043868764211,0.43465167285350165,0.3149246703447883,10
P16,2,14,14,0.43381950607516623,0.2466043575889827,0.7608674392458574,30.64749622004592,45.598983624916286,0.18721514848618354,0.18721514848618354,0.7204629217786873,0.6639838386642868,0.1346760905082801,10
P16,3,15,15,0.3339235030481191,0.17757125075867541,0.5903621255388901,20.912157260243504,20.912157260243504,0.4463335212053136,0.15635225228944366,0.7052376612417829,0.9564794080235556,0.3066165694617531,10
P16,4,14,15,0.3406747649032559,0.33638642221600423,0.21198333727264798,44.772489403955475,44.772489403955475,0.4826114783887089,0.004288342687251645,1.2183606618913951,3.1436293517077143,0.34712975004087776,10
P17,1,11,11,0.5042973294922575,0.2311116486820952,0.8019608145024746,43.372921705149466,74.53944883392151,0.27318568081016226,0.27318568081016226,1.2345217158967807,1.5985745805922313,0.045583483382297674,10
P17,2,12,12,0.499572374959896,0.40243152851175845,0.5503253892331513,29.11633548880708,46.611183725058716,0.09714084644813753,0.09714084644813753,0.6792792908243823,1.5804447086940396,0.2016915643775884,10
P17,3,13,14,0.26447777117909466,0.21111749026309762,0.005393947801901777,58.6908031814732,74.42173840519439,0.05336028091599704,0.05336028091599704,0.7904121980346639,1.0136264871544227,0.4129813311638372,10
P17,4,12,13,0.40562142215137487,0.39819228225431064,0.5769216544707951,49.71617620013794,49.71617620013794,0.43507824284658336,0.00742913989706423,1.2888394764800197,1.9663729883041183,0.2919829668742502,10
P18,1,11,11,0.2971143230774502,0.4601970318424717,0.44688880001976633,49.65906653189518,49.65906653189518,0.4618770134321441,0.16308270876502146,1.1189248479494003,6.122714944713308,0.32364392646051166,10
P18,2,12,12,0.43002016547507116,0.5036464745820668,0.6285642087299075,44.00788801863113,44.00788801863113,0.8327175834306719,0.07362630910699564,1.1924037016943834,1.9153996284814827,0.41284554295874787,10
P18,3,12,12,0.1988033081354787,0.4267202634936422,0.23414726524398397,76.45863767981831,76.45863767981831,0.35554427007187644,0.22791695535816353,1.2133318762325414,1.9032340715942986,0.3415176588114982,10
P18,4,13,14,0.2826982587436194,0.38229841086902844,0.002192886182764975,52.42820006559319,84.62006461185977,0.6649966696126479,0.09960015212540901,0.7150207215901341,1.3490677703510074,0.46529085895869393,10
P19,1,12,12,0.6189174731691041,0.8065426349289141,0.5578616087103282,54.432266567520976,54.432266567520976,0.7455253069681319,0.18762516175981003,2.182237867445398,2.3565850874510574,0.36372429609402157,10
P19,2,11,11,0.4505727649089765,0.8208448295775387,0.6758600258216537,44.80082681306312,44.80082681306312,0.9369770738933252,0.37027206466856216,2.1810689941022408,5.10305943798028,-0.5651957971155628,10
P19,3,12,12,0.5800646894783341,0.46414657151002503,0.2269600885308854,59.89207730964348,59.89207730964348,0.800894796781874,0.11591811796830909,1.68699920862147,1.5957273024157903,0.12030505769544841,10
P19,4,10,11,0.49475294891966376,0.5729882972824053,0.7418710042903562,22.11609652966842,22.11609652966842,1.0391399382027722,0.07823534836274154,1.3922588089186472,1.6746526722018324,0.26299802071577305,10
P20,1,7,8,0.2625973030400994,0.28617567616389755,0.9217757338641911,22.81292160536567,22.81292160536567,0.16054766782481847,0.02357837312379818,0.8747929661905651,3.7337416773395566,0.26381519218481886,10
P20,2,10,10,0.2531403044329631,0.26046326755291677,0.36978680174623746,31.393193161621046,48.35443869579996,0.5136035719858798,0.007322963119953674,0.8415249593325376,1.0079306235942236,0.4630981893244218,10
P20,3,9,10,0.25938293494376286,0.7823442174829077,0.5365483609238243,31.865189552573426,56.40357533233608,1.0417271524266707,0.5229612825391449,1.3388418713624117,23.042955801782263,-2.408427417962934,10
P20,4,5,6,0.3891913393357485,0.4678482032748721,0.7746631721890418,39.198666047893276,39.198666047893276,0.541712610319392,0.07865686393912358,0.9404610966494266,1.8992063302303706,0.2560449056485633,10
P21,1,12,12,0.3537216987324271,0.16296370177164068,0.17335197626178603,41.214689106806915,41.214689106806915,0.4973949049838097,0.1907579969607864,0.5984190589052685,0.4025298809486335,0.5632801615033742,10
P21,2,12,13,0.23598415957471325,0.3061337134954266,0.24111286223539338,73.1011791347082,73.1011791347082,0.34447164150560433,0.07014955392071337,0.8566659995826966,2.1152137027822078,0.4821396543805718,10
P21,3,12,13,0.25338866852380665,0.31380903563419016,0.2124478284683038,26.732679436293,26.732679436293,0.5059109622992376,0.06042036711038351,0.7381680294784008,1.1839715235745705,0.44268797441334695,10
P21,4,12,13,0.29695706099896907,0.4060896383771662,0.024561125241732984,41.22729067175036,77.45603885950106,0.7030466993761353,0.10913257737819715,0.7901245190126923,1.6377114590439938,0.546556227239493,10
P22,1,9,9,0.2516427982974106,0.22902794958759587,0.0006191087293872174,67.34505347429119,67.34505347429119,0.0313918571584851,0.022614848709814728,0.6279717920687382,1.7547780563026611,-0.46685548173867697,10
P22,2,10,11,0.44269207260287546,0.28425748780646626,0.8924681491371735,34.581785269032544,62.11388706673509,0.7269495604093417,0.1584345847964092,0.8750047875383538,1.658342145983431,0.33691138134063514,10
P22,3,11,12,0.4787114192086242,0.28108932735539804,0.7872555408822919,38.07022787486417,38.07022787486417,0.1976283492131106,0.19762209185322616,1.2204739699998846,1.586360683780849,0.30129337095477926,10
P22,4,11,12,0.39426111578273576,0.205247672184291,0.04429434053311671,87.46129061604535,87.46129061604535,0.3287468541300515,0.18901344359844477,0.8493435428377589,1.6930637230291696,0.3312838894834822,10
P23,1,12,12,0.4037159423712054,0.2966732243890523,0.025259208387500037,43.17029314122667,84.30617680831027,0.7003891667602578,0.10704271798215309,0.768123353136196,0.5045050361001793,0.5917745479019476,10
P23,2,12,12,0.26051373197284655,0.4308729915802462,0.9317551291003956,21.289918510452484,21.289918510452484,0.18211130371600262,0.17035925960739967,1.318244244925274,3.4211303313412706,0.43179532055656034,10
P23,3,12,12,0.32530308216339515,0.7739236823691676,0.7229964239180926,43.188704648919895,43.188704648919895,0.6028067019711346,0.4486206002057725,1.691458220077304,3.914340763693179,0.4629405770862206,10
P23,4,12,12,0.2674930545338721,0.2664023423731097,0.8889021059258856,10.865275086163036,10.865275086163036,0.3856972559593752,0.001090712160762397,0.954049191522644,1.1033722046495456,0.3184465581586744,10
P24,1,10,10,0.37015937002216204,0.15263461086199887,0.24271245133434977,60.64649299872846,60.64649299872846,0.29829611235347964,0.21752475916016317,0.60115007489585,0.6439397938860276,0.3440489121786132,10
P24,2,10,11,0.3705365637201187,0.3073793396871737,0.9608530192005043,21.470111157975936,37.73208987977958,0.6779159034072924,0.06315722403294499,1.0623477761763318,3.315361714892829,0.14031819187532413,10
P24,3,11,12,0.2617273649213413,0.4690406730446091,0.9488316192431833,17.800921961176428,17.800921961176428,0.43012027954717574,0.20731330812326781,0.7464189182088523,2.0274865625728977,0.5243630506571539,10
P24,4,11,12,0.3941576381696845,0.3796409862277322,0.8787494371769854,13.250938243465285,23.60301278282063,0.014516651941952341,0.014516651941952341,0.735593591592595,0.977758840546873,-0.11261956184218569,10
P25,1,11,12,0.40408078437501077,0.4396673609801393,0.20910077521092063,69.84405033091322,69.84405033091322,0.7971988216451859,0.03558657660512854,0.8043366721041482,0.7020962810976393,0.5269088322549403,10
P25,2,12,13,0.25111758744664536,0.4641053253297135,0.9256649422173714,41.222496086652406,69.58380946917637,0.21298773788306813,0.21298773788306813,1.2197739410406878,2.7129411782984714,0.5101660249293243,10
P25,3,12,13,0.2897565012433473,0.3289272783503473,0.6984055829891271,52.234952603112276,85.2232793773441,0.03917077710700001,0.03917077710700001,1.0722261219543447,1.408234438761394,0.4083177285797315,10
