participant_id,B_A1,rho_A1,B_B1,rho_B1,B_A2,rho_A2,B_B2,rho_B2,B_sign_flips,rho_spread,rho_spread_null_p95,rho_unstable,pre_switch_alignment,n_switches,cue_gain_near,cue_gain_far,n_near
699b19eb2744be8e2c9e73ed,-0.03260714929023733,0.7842859984151577,0.007234360550455461,0.8732961464052115,0.04068036846149733,0.9186404912384485,0.08675742454199135,0.8209380306711893,False,0.13435449282329082,0.21831905646144978,False,-0.05357142857142857,28,-1.515884815970511,0.2896504734635004,7
69ab872f2dc6e02760face50,0.0029616242717465176,0.81628011216375,-0.0540684637689508,0.8226260597145814,0.01214235229704378,0.6585412507165058,-0.01314932236890926,0.8406941170332105,True,0.1821528663167047,0.2945187847087801,False,-0.08928571428571429,28,-1.232274493475341,0.30079934181002244,7
69cbcb9a5c8b56847e4ebda5,0.058138244506129685,0.6278834108980494,-0.041761017652893875,0.7053865728964602,0.046732003273464835,0.738982046219082,-0.05094240844100495,0.7337418023787516,True,0.11109863532103259,0.21140512807668355,False,-0.3321428571428572,28,2.4671879348229933,-1.6127704296608403,7
69ed0ecd116ddecaafd2d726,-0.0782391634648591,0.45460348864887895,0.037299035382174626,0.7074503089704638,-0.05214184948106835,0.6083541076668496,0.05390919973285912,0.5444014634753691,True,0.25284682032158484,0.33341308789129365,False,-0.2392857142857143,28,0.7742089227880439,-2.5718346269562966,7
6a0415c09c578ebcf634a8f7,0.06676067910070316,0.5157932917714695,-0.06014791576042833,0.576530944945763,0.06402966934359543,0.6455215692111257,-0.04834094836272084,0.6985066434467113,True,0.18271335167524183,0.26672824570003095,False,-0.3821428571428572,28,-0.689401192994872,-0.8908334316565664,7
6a17230d60e2a318a8073ab6,0.029393625684392057,0.7245244526015129,-0.04259133358438226,0.643166904838516,0.054316965016623045,0.7133902576465466,-0.053591198115386,0.6830689933268352,True,0.08135754776299686,0.1990825511893007,False,-0.41785714285714287,28,-0.8173884099122223,-0.48463155265134095,7
6a19b14498b3d36bccc467cb,-0.017264815594942293,0.4386651356307059,-0.00037229523779349635,0.4803143315824891,-0.0005194966754704485,0.8524445053418901,-0.012583365873613566,0.912658218409428,False,0.47399308277872204,0.5924050291098586,False,0.025000000000000015,28,-0.19745428475983753,-0.16571303239774615,7
6a1e249fc87cc5282b9262b3,0.047692606059671495,0.6964980380655377,-0.02667716108705061,0.8133400450549169,0.026093193717339723,0.7809118968849417,-0.03611399446806793,0.7830894407360758,True,0.11684200698937919,0.22286647753197064,False,-0.22500000000000003,28,0.8890800805472077,-1.2262637054713588,7
6a22f88b62f94cd1d52e3d19,-0.037893587174826625,0.7315758709305142,0.02688888863272691,0.7708556031163721,-0.038691120931843244,0.7853751624196135,0.05288980390379049,0.6937313463761601,True,0.0916438160434534,0.19444485863311345,False,-0.27499999999999997,28,0.1690168999571259,-0.8686646259647435,7
6a43a2cd49feba211cdecf86,-0.10526072202462612,0.5135101397508599,0.07204476719903191,0.8329499421702011,-0.08380381203313861,0.5947420590944886,0.09430365969027456,0.41846504543068824,True,0.4144848967395129,0.4978663160003256,False,-0.275,28,-3.1714508485128694,-2.0277983017168224,7
6a4407786c0afee02f74e0d0,-0.06105210157884326,0.593134607901831,0.06350607959329382,0.5758378217459423,-0.055174469237128085,0.50968615041342,0.06957053428700045,0.49372989614351936,True,0.09940471175831167,0.250535884965569,False,-0.2928571428571428,28,-1.1614087593671338,-0.5897753365845596,7
