participant_id,horizon,best_k,unbinned,binned3,binned10
699b19eb2744be8e2c9e73ed,1,2,0.7915800416411829,0.7470011072877567,0.3398458944828794
699b19eb2744be8e2c9e73ed,3,2,0.7360450763294799,0.6793501459229306,0.19116763188731756
699b19eb2744be8e2c9e73ed,5,1,0.6575733612755466,0.5893956462941565,0.13173865365905812
699b19eb2744be8e2c9e73ed,10,1,0.44275419642510205,0.3680632813744754,-0.01502551027584409
69ab872f2dc6e02760face50,1,1,0.8010217235831979,0.6715127764803219,0.3609901927854676
69ab872f2dc6e02760face50,3,1,0.7028876773044692,0.6063446144609317,0.3273452882572868
69ab872f2dc6e02760face50,5,1,0.5936561569312974,0.5093728729799976,0.2823725824412907
69ab872f2dc6e02760face50,10,1,0.4006873631521394,0.33912741851130845,0.21933943999183536
69cbcb9a5c8b56847e4ebda5,1,1,0.7573844098353045,0.6478947035887055,0.31859746652789933
69cbcb9a5c8b56847e4ebda5,3,8,0.6444962226925663,0.5681557544461833,0.24753684800903986
69cbcb9a5c8b56847e4ebda5,5,8,0.5393739580497117,0.47706913896504466,0.1933901965221757
69cbcb9a5c8b56847e4ebda5,10,8,0.31478274469654766,0.2750069871263624,0.1288924276944854
69ed0ecd116ddecaafd2d726,1,2,0.4733861832551123,0.4131540304286708,0.06662963992241733
69ed0ecd116ddecaafd2d726,3,8,0.4140918305915434,0.3341424502957506,0.09338238931363363
69ed0ecd116ddecaafd2d726,5,8,0.31588823476086425,0.2613560100455491,0.13413547788721636
69ed0ecd116ddecaafd2d726,10,1,0.14563142988202415,0.10297335716755451,0.10153429094884414
6a0415c09c578ebcf634a8f7,1,1,0.714918678705118,0.6133534320646381,0.41082006772459023
6a0415c09c578ebcf634a8f7,3,1,0.6037089354165976,0.5156849468639308,0.25164529379212663
6a0415c09c578ebcf634a8f7,5,8,0.4962722939559129,0.42862476269993255,0.14991810162246688
6a0415c09c578ebcf634a8f7,10,8,0.30350926474815976,0.2609968711673416,0.0070223058045593145
6a17230d60e2a318a8073ab6,1,1,0.7613662164247901,0.7017162238576209,0.3652918038166959
6a17230d60e2a318a8073ab6,3,3,0.6518836996497769,0.5873689629151169,0.28014278482701993
6a17230d60e2a318a8073ab6,5,3,0.5365865939128633,0.47667543573456295,0.13649714062983753
6a17230d60e2a318a8073ab6,10,8,0.3054005048853641,0.2571578691087756,-0.020196514365832918
6a19b14498b3d36bccc467cb,1,1,0.4525115534979206,0.3003782070032288,0.09645984648452954
6a19b14498b3d36bccc467cb,3,1,0.38204491226423376,0.2037810673233147,-0.05874641729772878
6a19b14498b3d36bccc467cb,5,1,0.2804127727788226,0.1070011538264578,-0.09412927840290197
6a19b14498b3d36bccc467cb,10,1,0.122216583646238,0.04926567256199599,-0.04126396585935188
6a1e249fc87cc5282b9262b3,1,3,0.8536200691247647,0.8280366965634202,0.599886420097602
6a1e249fc87cc5282b9262b3,3,5,0.7732118376436476,0.7367104283251134,0.5469327378686479
6a1e249fc87cc5282b9262b3,5,3,0.6780033842801978,0.6379567836955459,0.46241587201986634
6a1e249fc87cc5282b9262b3,10,8,0.4708406853201622,0.43238640091941116,0.2878455769931447
6a22f88b62f94cd1d52e3d19,1,1,0.7005128744713558,0.633932453581205,-0.08645722482330442
6a22f88b62f94cd1d52e3d19,3,8,0.5820544768182525,0.5196026787887753,-0.017682542773812315
6a22f88b62f94cd1d52e3d19,5,8,0.4602218979992617,0.4088431975856921,-0.0829857907943492
6a22f88b62f94cd1d52e3d19,10,5,0.1716715431011805,0.14394503714690365,-0.07329655676239466
6a43a2cd49feba211cdecf86,1,1,0.6305525148360476,0.4938726612762505,0.17185562172734903
6a43a2cd49feba211cdecf86,3,8,0.4652133755165263,0.35550222316429236,0.04157051470022244
6a43a2cd49feba211cdecf86,5,8,0.3372412072124845,0.2649022068612301,-0.017684442059005434
6a43a2cd49feba211cdecf86,10,8,0.17197156673710567,0.13301158392762003,-0.06296254989978833
6a4407786c0afee02f74e0d0,1,1,0.6965838399114248,0.5827612692384619,0.19162600557216025
6a4407786c0afee02f74e0d0,3,3,0.5537357095911775,0.46094012959379427,0.16204084932663465
6a4407786c0afee02f74e0d0,5,8,0.4184457705417234,0.33949745995923375,0.14431188861013433
6a4407786c0afee02f74e0d0,10,8,0.22385373448175383,0.193415694755113,0.17050462352459783
