participant_id,color,contingency,stage_pair,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
6931bc7a9286300ba24d7703,green,A_rich,2v4,36,36,0.817137155195172,42.515869027311766,85.03173805462353,0.20011988448156764,0.20011988448156764,1.2055388065502148,0.40192226726506364
6931bc7a9286300ba24d7703,green,B_rich,1v3,36,36,0.5703039320891644,29.82611109742036,59.65222219484072,0.7254494639146123,0.1663848912188422,1.4912812010635195,0.5374679682007084
697aa4b8d2b6c1b3b9d7ae2c,blue,A_rich,2v4,36,36,0.06845252567427287,3.062287555093837,3.062287555093837,0.8958679639784596,0.011119504354572984,0.7655080121010239,0.5636891210763628
697aa4b8d2b6c1b3b9d7ae2c,blue,B_rich,1v3,36,36,0.22042235482053618,38.441840059136176,76.88368011827235,0.0023460561117512047,0.0023460561117512047,1.5147791388650598,0.18937406688641623
697aa4b8d2b6c1b3b9d7ae2c,green,A_rich,1v3,36,36,0.7775681667733465,2.3674843396495535,2.3674843396495535,0.2047965988909297,0.19369297579420608,1.5887098940091418,0.10960206989091081
697aa4b8d2b6c1b3b9d7ae2c,green,B_rich,2v4,36,36,0.14557146434257445,24.92652388332754,49.85304776665508,0.797194739142737,0.05629239834555666,0.4097550758725408,0.569609420279292
698078075d3326e1b30bd1c3,blue,A_rich,1v3,36,36,0.5162400811912563,8.581358307190474,8.581358307190474,0.5510786783939056,0.12564265403888542,0.7278998762026182,0.4946481942913009
698078075d3326e1b30bd1c3,blue,B_rich,2v4,36,36,0.8607824634017942,17.206165518079672,34.41233103615932,0.28473612640378787,0.28473612640378787,0.4049762322336729,0.5782250486383207
698078075d3326e1b30bd1c3,green,A_rich,2v4,36,36,0.8168188588653629,9.172357055167174,9.172357055167174,0.40004712810942267,0.16461358295533274,0.7874187416074622,0.4300867678904864
698078075d3326e1b30bd1c3,green,B_rich,1v3,36,36,0.6773094757794974,47.36624793017364,47.36624793017364,0.21982452641871109,0.21042937601634934,0.485425182860981,0.5425551309526186
69825ba5f82e6ac78f401931,blue,A_rich,2v4,36,36,0.7404974063660379,42.22619578829248,42.22619578829248,0.32804595053711316,0.04576423109518862,0.5210775173817545,0.5619089567786306
69825ba5f82e6ac78f401931,blue,B_rich,1v3,36,36,0.9955241536660505,13.089367139591854,26.178734279183686,0.07038146813002372,0.07038146813002372,0.6579206344006374,0.5882407328820285
69825ba5f82e6ac78f401931,green,A_rich,1v3,36,36,0.4005176411266201,35.76946576820497,35.76946576820497,0.7477809023908167,0.038148994019608584,0.9860180894528563,0.35468733675824204
69825ba5f82e6ac78f401931,green,B_rich,2v4,36,36,0.9224751199962707,22.709347303519415,22.709347303519415,0.27517116202679176,0.24421584387595882,0.6055937228906065,0.5275989469432723
69861227e96662416a5b08ac,blue,A_rich,2v4,36,36,0.9380750215763836,16.156105926786587,32.31221185357315,0.03001269126195788,0.03001269126195788,0.4085073787465694,0.6271865153666556
69861227e96662416a5b08ac,blue,B_rich,1v3,36,36,0.7664421225575193,34.20433765210227,34.20433765210227,0.20995812273222156,0.03718678357524202,0.6925927570507828,0.6208878224701978
69861227e96662416a5b08ac,green,A_rich,1v3,36,36,0.7975933040173695,7.872713550921137,15.745427101842267,0.20631400900994795,0.20631400900994795,0.7104575682123905,0.5481786629137607
69861227e96662416a5b08ac,green,B_rich,2v4,36,36,0.8082622479968775,36.073505838709494,36.073505838709494,0.14993458729591017,0.048347618587715024,0.8019422863210537,0.40931953911369945
698754c1f51d3f9181f7952b,blue,A_rich,1v3,36,36,0.07842947959977847,20.62434804848378,41.24869609696753,0.0043706392177765285,0.0043706392177765285,1.4799527263813828,-0.00235769673734465
698754c1f51d3f9181f7952b,blue,B_rich,2v4,36,36,0.940214572041659,19.912377747544994,19.912377747544994,0.1068102158074669,0.10017731981932704,1.163715130043821,0.27816784756676827
698754c1f51d3f9181f7952b,green,A_rich,2v4,36,36,0.9024480316256468,17.11491061871664,17.11491061871664,0.36302216865755516,0.11248465997569818,0.9451764219741028,0.16194967731251853
698754c1f51d3f9181f7952b,green,B_rich,1v3,36,36,0.13695824280812469,8.522276084574289,8.522276084574289,0.46746507044062635,0.06315059000330892,0.9906005628921977,0.09837497618876623
699b19eb2744be8e2c9e73ed,blue,A_rich,2v4,36,36,0.832037472445765,35.696530293916055,71.39305973405847,0.0997740814969994,0.0997740814969994,1.895271030635064,0.14067904465804415
699b19eb2744be8e2c9e73ed,blue,B_rich,1v3,36,36,0.09473902061052517,76.14140339368737,76.14140339368737,0.7779669462468796,0.49308531648240306,0.9702343506668875,-0.8041864057936614
699b19eb2744be8e2c9e73ed,green,A_rich,1v3,36,36,0.30969191783164496,2.7312567605879683,2.7312567605879683,0.7310954724250535,0.22666421599756376,1.6316184501730162,-2.888237271584032
699b19eb2744be8e2c9e73ed,green,B_rich,2v4,36,36,0.12679542788728151,23.71661055595083,23.71661055595083,0.4823731398830494,0.3661093605633014,0.9400585911137469,0.3171242810708462
69ab872f2dc6e02760face50,blue,A_rich,1v3,36,36,0.9234246983123411,1.3108404920149122,2.6216809840298043,0.37333578474932,0.37333578474932,0.7624615742347283,0.35141164946436665
