participant_id,comparison,condition_pair,color,contingency,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance
60324e0d654dbd21e0e7fa2d,diff_color_same_contingency,B1vA2,green,right_rich,0.0032106724432677605,58.808519456172014,58.808519456172014,0.7945998022300105,0.19717058475389432,1.0406183230196226
650f06d2017a53e840c5af61,same_color_diff_contingency,A1vB1,blue,right_rich,0.4929320538274921,40.62215070730389,81.24430141460778,0.17739627866685337,0.17739627866685337,1.0722369779782142
650f06d2017a53e840c5af61,diff_color_same_contingency,A1vB1,blue,right_rich,0.32898040744824314,1.3693921871665047,1.3693921871665047,0.6975429004081638,0.3076111566112485,0.6157637067743362
650f06d2017a53e840c5af61,same_color_diff_contingency,A1vB1,green,left_rich,0.3335735506693331,60.427331516939674,60.427331516939674,0.2511053921568086,0.1460326973360702,0.8374180436974128
650f06d2017a53e840c5af61,diff_color_same_contingency,A1vB1,green,left_rich,0.18106173528493477,37.51498220495139,75.02996440990277,0.7081768397858007,0.015817819391675036,0.6837152970504249
650f06d2017a53e840c5af61,same_color_diff_contingency,B1vA2,blue,left_rich,0.9835327247429966,32.75019029803254,65.50038059606509,0.05185357736497004,0.05185357736497004,1.2732644971332627
650f06d2017a53e840c5af61,diff_color_same_contingency,B1vA2,blue,left_rich,0.24494547067240618,19.932560778007392,39.86512155601474,0.5162828936213109,0.17607612677281484,0.9394709276428306
650f06d2017a53e840c5af61,same_color_diff_contingency,B1vA2,green,right_rich,0.6609084460459104,8.860372864686918,8.860372864686918,0.14734826600811538,0.04586124882841969,0.7588523492505949
650f06d2017a53e840c5af61,diff_color_same_contingency,B1vA2,green,right_rich,0.1472789884262445,74.19971807888776,74.19971807888776,0.5754223627491765,0.1820684553093652,0.9060040521314692
664b8bef90cdb799d4c4c35d,same_color_diff_contingency,A1vB1,blue,left_rich,0.2425094656034644,8.265023984777796,8.265023984777796,0.723584030673443,0.4017882107090457,1.1775141282314823
664b8bef90cdb799d4c4c35d,diff_color_same_contingency,A1vB1,blue,left_rich,0.7881506455011646,21.688364250014175,21.688364250014175,0.4505180496952557,0.4205817101918452,1.1716822539976741
664b8bef90cdb799d4c4c35d,same_color_diff_contingency,A1vB1,green,right_rich,0.0074347911832804295,85.22908064597209,85.22908064597209,0.49996977179813257,0.4227486522156162,1.1897913562332225
664b8bef90cdb799d4c4c35d,diff_color_same_contingency,A1vB1,green,right_rich,0.778505076818355,3.1461544367205976,3.1461544367205976,0.6903845634487422,0.4039551527328167,1.3696163259818563
664b8bef90cdb799d4c4c35d,same_color_diff_contingency,B1vA2,blue,right_rich,0.9393937471897975,32.89814279404333,65.79628473431302,0.25596147622505666,0.25596147622505666,1.0677921777373551
664b8bef90cdb799d4c4c35d,diff_color_same_contingency,B1vA2,blue,right_rich,0.5400352976571561,38.26083865878718,76.52167583879502,0.9395859435917959,0.20302672011636314,1.3862565983811488
664b8bef90cdb799d4c4c35d,same_color_diff_contingency,B1vA2,green,left_rich,0.21438709236945097,38.76412438341649,77.52824728805363,0.22182021959916265,0.22182021959916265,1.532265392995896
664b8bef90cdb799d4c4c35d,diff_color_same_contingency,B1vA2,green,left_rich,0.3284516925347013,32.560041544374315,65.12008223497499,0.9054446869659019,0.2747549757078562,1.1917559277048697
681b781064a5701a5ceee3bc,same_color_diff_contingency,A1vB1,blue,left_rich,0.04258166372092853,53.31153109053456,53.31153109053456,0.5921610707004509,0.167619776740154,1.3377503387436627
681b781064a5701a5ceee3bc,diff_color_same_contingency,A1vB1,blue,left_rich,0.933517698974146,20.97918946690891,20.97918946690891,0.5226650149522937,0.46319492873309687,1.0554631263517749
681b781064a5701a5ceee3bc,same_color_diff_contingency,A1vB1,green,right_rich,0.8691658019388434,3.7823205588035145,3.7823205588035145,0.41813934678354236,0.35608086152872787,0.9220817582029789
681b781064a5701a5ceee3bc,diff_color_same_contingency,A1vB1,green,right_rich,0.4342396378949819,60.157774963579804,60.157774963579804,0.517686473804065,0.06050570953578499,1.0156291356642586
681b781064a5701a5ceee3bc,same_color_diff_contingency,B1vA2,blue,right_rich,0.7557530818703595,5.146262252271193,5.146262252271193,0.5359662507392989,0.08832427454655606,1.0969247039933359
681b781064a5701a5ceee3bc,diff_color_same_contingency,B1vA2,blue,right_rich,0.8917180312347227,26.910065833845703,26.910065833845703,0.08218977787419933,0.03747012080444817,0.46033996022664375
681b781064a5701a5ceee3bc,same_color_diff_contingency,B1vA2,green,left_rich,0.08252233806583129,85.26643536501378,85.26643536501378,0.27934645604722674,0.2581050311884947,0.8767667229221043
