participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
5f89a35824bee7076b6d536c,#2E5C8A,False,0.8200000000000001,0.0,0.0,0.44999999999999996,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.54,1.0,1.0,0.7,0.06999999999999995
5f89a35824bee7076b6d536c,#2E7D5B,False,0.5800000000000001,1.0,1.0,0.6,0.06999999999999995
5f89a35824bee7076b6d536c,#2E7D5B,False,0.7,0.0,0.19999999999999996,0.75,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,True,0.6799999999999999,1.0,1.0,0.44999999999999996,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.56,1.0,0.2,1.0,0.06999999999999995
5f89a35824bee7076b6d536c,#2E7D5B,False,0.7,0.0,0.6,0.7,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.5,0.0,0.8,0.5,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,True,0.64,1.0,0.6,0.45,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.8,0.0,0.19999999999999996,0.19999999999999996,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.72,0.0,0.0,1.0,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.6799999999999999,1.0,1.0,1.0,0.06999999999999995
5f89a35824bee7076b6d536c,#2E7D5B,True,0.78,0.0,0.0,0.44999999999999996,0.06999999999999995
5f89a35824bee7076b6d536c,#2E7D5B,False,0.5,0.0,0.0,0.5,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.6,0.0,0.2,0.9,0.17000000000000004
5f89a35824bee7076b6d536c,#2E7D5B,False,0.8,0.0,0.0,0.45,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.48,1.0,1.0,0.5,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.24,1.0,1.0,0.19999999999999996,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.84,0.0,0.0,0.44999999999999996,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,True,0.72,1.0,1.0,1.0,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.66,0.0,0.0,0.15,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.34,1.0,1.0,0.4,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.64,1.0,1.0,0.4,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,True,0.66,1.0,1.0,0.6,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.43999999999999995,0.0,0.0,0.35,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.6,0.0,0.0,0.75,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.56,1.0,1.0,0.9,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,True,0.7,0.0,0.0,0.25,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.54,1.0,1.0,0.05,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.52,1.0,1.0,1.0,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E5C8A,False,0.54,0.0,0.0,0.6,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.78,0.0,0.4,0.5,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.5,0.0,0.0,0.75,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.56,0.0,0.0,0.8,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,True,0.54,0.0,0.0,0.05,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.42000000000000004,0.0,0.0,0.050000000000000044,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.5,0.0,0.0,0.35,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.6,0.0,0.0,0.15000000000000002,0.17000000000000004
